Dates,TAve,TMax,TMin,Rain,TEPCO,KEPCO,TOHOKU,CHUBU,Total
01/01/13,3.810,7.560,0.060,0.240,27176.250,14386.250,9052.083,13070.288,63684.871
02/01/13,6.800,11.510,2.090,0.770,26793.750,14133.333,9108.750,12905.691,62941.524
03/01/13,2.880,5.920,-0.170,0.060,28714.583,15170.417,9942.083,13983.923,67811.006
04/01/13,1.810,5.110,-1.490,0.040,33050.417,17187.083,10855.833,16050.444,77143.777
05/01/13,1.730,5.390,-1.940,0.150,34620.833,17933.750,10469.583,16599.573,79623.740
06/01/13,3.300,8.290,-1.690,0.020,33410.417,17165.833,10382.917,16012.287,76971.454
07/01/13,4.050,8.360,-0.250,0.000,37593.750,19250.833,11247.083,18040.770,86132.437
08/01/13,5.530,10.060,1.000,0.000,37807.083,19874.583,11627.083,18386.909,87695.658
09/01/13,4.980,8.370,1.590,0.060,37691.250,19954.167,11986.667,18478.865,88110.948
10/01/13,3.970,7.180,0.750,0.000,38328.333,20372.500,12352.500,18883.068,89936.401
11/01/13,3.700,7.580,-0.180,0.000,38925.417,20328.333,12192.083,18994.695,90440.528
12/01/13,4.410,9.140,-0.320,0.380,36436.250,18761.667,11115.833,17535.130,83848.880
13/01/13,5.430,10.400,0.460,17.950,32667.083,17384.167,10210.833,15814.037,76076.120
14/01/13,4.860,8.130,1.590,20.660,37812.500,18372.083,11376.667,17889.920,85451.169
15/01/13,3.520,6.610,0.420,0.390,39541.250,20233.750,11970.417,19079.897,90825.313
16/01/13,3.060,6.870,-0.760,0.090,40466.667,20197.500,11892.500,19310.616,91867.283
17/01/13,3.420,7.310,-0.470,1.700,40145.417,20426.667,12265.833,19390.604,92228.520
18/01/13,1.870,5.200,-1.460,0.590,40537.917,21168.333,12579.167,19802.273,94087.689
19/01/13,3.530,8.340,-1.290,0.690,37158.750,19247.917,11535.417,17998.229,85940.312
20/01/13,5.140,9.220,1.060,0.430,34159.167,17206.667,10567.083,16289.222,78222.138
21/01/13,4.700,8.480,0.920,8.820,38192.500,19981.250,11178.333,18399.233,87751.316
22/01/13,6.440,9.410,3.460,1.670,38996.667,19816.667,11637.083,18711.598,89162.015
23/01/13,5.640,8.820,2.460,1.040,38275.833,19549.583,11297.917,18334.176,87457.509
24/01/13,5.630,10.040,1.220,1.330,37959.167,19429.583,11211.250,18185.340,86785.340
25/01/13,5.140,9.340,0.940,0.880,37820.833,19801.667,11813.333,18423.051,87858.884
26/01/13,2.540,5.610,-0.540,1.190,36630.000,19108.333,11707.917,17857.214,85303.463
27/01/13,2.870,6.890,-1.150,0.300,34166.667,18140.833,10675.417,16587.842,79570.758
28/01/13,3.470,7.580,-0.640,0.020,38305.000,20678.750,11482.917,18716.220,89182.887
29/01/13,5.000,10.100,-0.090,0.580,37963.750,20210.000,11625.417,18526.383,88325.550
30/01/13,6.770,11.340,2.200,0.150,37039.167,19500.000,11475.000,18018.729,86032.896
31/01/13,5.830,10.880,0.780,0.020,37800.417,19162.083,11196.250,18059.849,86218.598
01/02/13,6.900,11.930,1.880,5.470,37035.833,19050.000,11039.583,17765.969,84891.385
