Catégorie : Toutes catégories

Mois,data science: (France),big data: (France),machine learning: (France)
2004-01,0,6,6
2004-02,0,0,9
2004-03,7,0,7
2004-04,0,0,16
2004-05,0,0,9
2004-06,0,0,11
2004-07,0,0,15
2004-08,5,5,10
2004-09,4,4,4
2004-10,8,0,4
2004-11,0,4,11
2004-12,3,0,5
2005-01,3,3,6
2005-02,0,0,5
2005-03,5,3,6
2005-04,0,4,3
2005-05,5,0,11
2005-06,0,0,6
2005-07,3,0,4
2005-08,3,4,4
2005-09,2,0,4
2005-10,2,2,5
2005-11,0,2,6
2005-12,0,0,3
2006-01,2,0,6
2006-02,2,2,4
2006-03,2,3,5
2006-04,0,3,3
2006-05,0,0,4
2006-06,0,0,10
2006-07,0,0,5
2006-08,5,0,2
2006-09,2,1,2
2006-10,0,1,5
2006-11,1,1,3
2006-12,2,0,2
2007-01,2,1,1
2007-02,2,2,2
2007-03,2,0,1
2007-04,2,0,2
2007-05,0,0,2
2007-06,1,1,3
2007-07,1,0,1
2007-08,0,0,2
2007-09,1,0,2
2007-10,2,1,1
2007-11,2,1,5
2007-12,1,1,3
2008-01,1,1,2
2008-02,1,1,2
2008-03,1,1,2
2008-04,1,0,2
2008-05,1,1,1
2008-06,1,1,2
2008-07,1,0,2
2008-08,1,0,2
2008-09,1,1,3
2008-10,1,1,4
2008-11,1,1,3
2008-12,1,1,2
2009-01,1,2,3
2009-02,1,1,2
2009-03,1,1,3
2009-04,1,1,2
2009-05,1,1,2
2009-06,0,1,3
2009-07,1,1,3
2009-08,1,1,3
2009-09,2,1,3
2009-10,1,< 1,2
2009-11,< 1,< 1,2
2009-12,1,< 1,1
2010-01,2,< 1,3
2010-02,< 1,1,3
2010-03,1,< 1,2
2010-04,1,1,3
2010-05,1,1,3
2010-06,1,1,3
2010-07,1,< 1,3
2010-08,0,< 1,2
2010-09,1,1,2
2010-10,1,1,2
2010-11,1,1,3
2010-12,1,2,3
2011-01,1,1,3
2011-02,< 1,1,2
2011-03,1,1,4
2011-04,1,1,3
2011-05,< 1,2,2
2011-06,< 1,2,2
2011-07,1,2,2
2011-08,0,2,1
2011-09,1,2,4
2011-10,< 1,3,3
2011-11,1,3,4
2011-12,1,4,3
2012-01,1,5,5
2012-02,< 1,7,3
2012-03,1,9,3
2012-04,1,8,4
2012-05,1,7,4
2012-06,1,8,3
2012-07,1,12,4
2012-08,1,6,3
2012-09,1,12,3
2012-10,1,13,3
2012-11,1,12,3
2012-12,1,12,2
2013-01,1,16,3
2013-02,1,20,4
2013-03,1,22,4
2013-04,1,28,4
2013-05,1,23,4
2013-06,1,25,5
2013-07,1,25,3
2013-08,1,17,2
2013-09,1,29,6
2013-10,1,40,5
2013-11,1,37,6
2013-12,2,32,5
2014-01,2,44,3
2014-02,2,46,6
2014-03,2,49,5
2014-04,1,51,7
2014-05,2,45,9
2014-06,3,46,7
2014-07,3,45,7
2014-08,2,30,7
2014-09,4,55,7
2014-10,3,54,10
2014-11,3,54,10
2014-12,3,49,7
2015-01,4,54,8
2015-02,4,57,14
2015-03,6,74,13
2015-04,4,57,14
2015-05,6,52,9
2015-06,6,62,13
2015-07,7,43,14
2015-08,4,35,10
2015-09,7,64,15
2015-10,6,68,14
2015-11,7,64,18
2015-12,4,50,17
2016-01,9,64,20
2016-02,10,76,20
2016-03,11,81,20
2016-04,10,66,22
2016-05,9,67,20
2016-06,9,66,24
2016-07,9,46,17
2016-08,8,40,17
2016-09,11,61,22
2016-10,15,67,26
2016-11,14,71,28
2016-12,11,56,24
2017-01,12,62,29
2017-02,14,77,34
2017-03,16,88,37
2017-04,12,100,30
2017-05,12,63,32
2017-06,13,60,32
2017-07,15,46,28
2017-08,11,39,26
2017-09,15,53,34
2017-10,16,63,37
2017-11,17,61,40
2017-12,15,51,37
2018-01,18,60,42
2018-02,17,64,44
2018-03,18,71,44
2018-04,18,52,39
2018-05,16,47,39
2018-06,19,48,39
2018-07,14,37,37
2018-08,14,33,33
2018-09,21,50,37
2018-10,23,53,45
2018-11,20,56,45
2018-12,19,43,42
2019-01,24,47,39
2019-02,25,50,46
